Log Started: 2018-06-26 22:13:32.931915
/api/v2/users - Status Code: 200
/api/v2/observations - Status Code: 200
/api/v2/meetings - Status Code: 200
/api/v2/meetingmodules - Status Code: 200
/api/v2/schools - Status Code: 200
/api/v2/assignments - Status Code: 200
/api/v2/scores - Status Code: 200
/api/v2/informals - Status Code: 200
/api/v2/rubrics - Status Code: 200
/api/v2/measurements - Status Code: 200
/api/v2/measurementGroups - Status Code: 200
/api/v2/measurementTypes - Status Code: 200
/api/v2/tags - Status Code: 200
/api/v2/grades - Status Code: 200
/api/v2/courses - Status Code: 200
/api/v2/periods - Status Code: 200
/api/v2/tracks - Status Code: 200
/api/v2/goalTypes - Status Code: 200
/api/v2/actionstepopts - Status Code: 200
/api/v2/files - Status Code: 200
/api/v2/videos - Status Code: 200
/api/v2/observationtag1s - Status Code: 200
/api/v2/observationtag2s - Status Code: 200
/api/v2/observationtag3s - Status Code: 200
/api/v2/observationtag4s - Status Code: 200
/api/v2/observationTypes - Status Code: 200
/api/v2/observationModules - Status Code: 200
/api/v2/observationLabels - Status Code: 200
/api/v2/collaborationtypes - Status Code: 200
/api/v2/plueventlocations - Status Code: 200
/api/v2/plueventtypes - Status Code: 200
/api/v2/pluseries - Status Code: 404
/api/v2/plucontentareas - Status Code: 200
/api/v2/videotypes - Status Code: 200
/api/v2/meetingtag1s - Status Code: 200
/api/v2/meetingtag2s - Status Code: 200
/api/v2/meetingtag3s - Status Code: 200
/api/v2/meetingtag4s - Status Code: 200
/api/v2/goalopts - Status Code: 200
/api/v2/usertag1s - Status Code: 200
/api/v2/usertag2s - Status Code: 200
/api/v2/usertag3s - Status Code: 200
/api/v2/usertag4s - Status Code: 200
/api/v2/usertag5s - Status Code: 200
/api/v2/usertag6s - Status Code: 200
/api/v2/usertag7s - Status Code: 200
/api/v2/usertag8s - Status Code: 200
/api/v2/rubrictag1s - Status Code: 200
/api/v2/rubrictag2s - Status Code: 200
/api/v2/rubrictag3s - Status Code: 200
/api/v2/rubrictag4s - Status Code: 200
/api/v2/eventtag1s - Status Code: 200
Log Ended: 2018-06-26 22:13:49.439335
